id,decision,family,candidate_or_source,evidence_type,source,status,external_answer,signalroom_applicability,resource_and_integration,contrary_evidence_or_limit,disposition
SR012,estimator,doubly-robust,DR-learner,paper,https://arxiv.org/abs/2004.14497,established,"DR pseudo-outcomes offer orthogonality and robustness under stated nuisance conditions","Distinct policy-aligned profile","Use EconML DRLearner with cross-fitting and trimming sensitivity","Extreme propensities can make pseudo-outcomes unstable",admit-benchmark
SR013,estimator,targeted-learning,TMLE subgroup inference,paper,https://pmc.ncbi.nlm.nih.gov/articles/PMC11109707/,established,"Targets subgroup effect parameters and addresses practical positivity variants","Useful if subgroup inference becomes the deliverable","Prefer maintained targeted-learning package rather than custom code","Duplicates immediate DR question and changes target from ranking to subgroup inference",research-reserve
SR014,estimator,direct-uplift,class transformation and transformed outcome,review plus benchmark,https://proceedings.mlr.press/v67/gutierrez17a,established,"Direct or transformed targets provide a genuine uplift stream","At least one direct method is needed for cross-stream coverage","Use CausalML or UpliftBench","Transformed score may not be calibrated CATE",admit-benchmark
SR015,estimator,direct-uplift,uplift trees and random forests,systematic benchmark plus repository,https://github.com/uber/causalml,established,"Treatment-aware split criteria can optimize uplift ranking directly","Distinct challenger to meta-learners","Optional isolated CausalML adapter","Some APIs are experimental and metric conventions differ",admit-benchmark
SR016,estimator,causal-forest,EconML CausalForestDML,maintained repository,https://github.com/py-why/EconML,established,"Python causal forest with orthogonalization and inference","Primary Python forest candidate","Use EconML v0.17.0 pinned environment","More resource-intensive and not an individual counterfactual guarantee",admit-benchmark
SR017,estimator,causal-forest,GRF causal forest,official paper implementation,https://github.com/grf-labs/grf,established,"Honest forest plus calibration overlap AIPW and RATE diagnostics","Reference and reproduction oracle","R and C++ second environment; do not add to product runtime","Different language and defaults complicate direct parity",adopt-oracle
SR018,estimator,bayesian,Bayesian causal forest,systematic benchmark plus paper,https://doi.org/10.1214/19-BA1195,established,"Separates prognostic and treatment-effect structure","Could explain a forest failure regime","Would require another runtime and careful priors","Not a first comparison under current integration budget",research-reserve
SR019,estimator,neural-representation,CATENets TARNet CFRNet DragonNet,official repository,https://github.com/AliciaCurth/CATENets,established,"Representation learners form a distinct neural HTE family","Potential high-dimensional reserve","JAX stack and extra compute","Public tabular marketing evidence does not justify first-line integration",research-reserve
SR020,overlap,adaptive,OAR,ICLR 2026 paper plus official repository,https://github.com/Valentyn1997/OAR,provisional,"Overlap-adaptive regularization targets weak-support CATE regimes","Useful only after a controlled overlap failure","Experimental separate code and no release","New result; Hillstrom randomized arms have strong marginal overlap",research-reserve
SR021,data,randomized-marketing,Hillstrom,existing pinned artifact,docs/REAL_DATA_ADMISSION.md,established,"Real randomized email contrast with healthy balance and enough rows","First real workload","Already checksum-pinned","No timestamps harm outcomes or ITE truth",retain-workload
SR022,data,randomized-scale,corrected Criteo uplift,dataset-owner page,https://ailab.criteo.com/criteo-uplift-prediction-dataset/,established,"Corrected 13.98M-row randomized advertising dataset provides scale imbalance and sparse outcomes","Later cross-dataset ranking-conclusion workload","297 MB compressed plus larger run cost; exact version and digest required","Original 25M release had an advertiser leak; anonymized features limit interpretation",admit-later-workload
SR023,data,semi-synthetic,IHDP and ACIC,published benchmark families,https://arxiv.org/abs/2107.13346,established,"Known simulated effects allow PEHE and ATE-error evaluation","Oracle effect-accuracy workload","Reuse UpliftBench loaders and splits","DGP and baseline response structure can predetermine rankings",admit-later-workload
SR024,data,policy-risk,Jobs and policy-risk cases,UpliftBench workload,https://github.com/binshuangli/uplift-bench,provisional,"Known policy risk exposes objective-selection regret","Useful policy-selection oracle","Reuse isolated benchmark adapter","Recent implementation and non-marketing context",admit-later-workload
SR025,metric,ranking,Qini AUUC and uplift-at-k,current code plus literature,signalroom/real_metrics.py,contested,"Useful held-out randomized prioritization curves","Retain with frozen ties and uncertainty","Current custom functions require fixture parity against adopted implementations","High variance; rank objective may ignore score level; conventions differ",retain-panel-only
SR026,metric,ranking-inference,RATE and TOC,paper plus GRF,https://arxiv.org/abs/2111.07966,established,"Provides valid inference for prioritization summaries under assumptions","Adds inferential ranking evidence","Adopt GRF/reference implementation or verified port","Still evaluates prioritization rather than policy threshold value",admit-metric-panel
SR027,metric,ranking,pROCini,JMLR 2025 paper,https://www.jmlr.org/papers/v26/22-1455.html,contested,"Proposes deployment-grounded ranking using negative outcomes and theoretical bounds","Potential metric challenger","No custom implementation without official/reproducible fixture parity","Balanced-ranking work disputes related metric behavior",conditional-metric
SR028,metric,ranking,balanced causal ranking,ICML 2025 paper,https://kunkuang.github.io/papers/ICML25-Rethinking.pdf,contested,"Argues conventional Qini/uplift metrics can be biased even on RCTs and proposes balancing","Important contrary evidence","Need maintained reproduction component and parity fixtures","One proposed correction should not become a new unquestioned metric",conditional-metric
SR029,metric,variance-reduction,outcome-adjusted uplift evaluation,paper,https://arxiv.org/abs/2210.02152,established,"Outcome adjustment can reduce variance of Qini and transformed-outcome evaluation on RCTs","Direct response to current wide intervals","Refit published adjustment through verified benchmark code","Variance reduction does not fix objective mismatch",admit-metric-layer
SR030,calibration,effect-calibration,causal isotonic calibration,paper plus official repository,https://pmc.ncbi.nlm.nih.gov/articles/PMC10416780/,established,"Cross-fitted calibration aligns CATE score levels with observed treatment effects","Required before sign or value thresholding","Use causalCalibration reference at pinned commit","Calibration data must remain outside estimator fitting and test",admit-evaluation-layer
SR031,policy,evaluation,IPW and SNIPS,off-policy evaluation literature,https://arxiv.org/abs/1103.4601,established,"Assignment-weighted estimators evaluate a frozen policy from logged randomized actions","Retain IPW and add SNIPS comparison","Small implementation surface but use validated package/fixtures","IPW high variance; SNIPS finite-sample bias behavior must be exposed",admit-policy-panel
SR032,policy,evaluation,doubly robust policy value,Dudik et al plus GRF,https://arxiv.org/abs/1103.4601,established,"Combines outcome and propensity models and is consistent if either side is correct under assumptions","Primary later policy-value estimate","Adopt EconML or GRF DR scores with cross-fitting","Not robust to both nuisance models being wrong or no overlap",admit-policy-panel
SR033,policy,interpretable-learning,policytree and EconML DR policy trees,official repositories,https://github.com/grf-labs/policytree,established,"Learns shallow interpretable policies from DR scores","Conditional challenger to simple capacity thresholds","Use maintained implementation in isolated environment","Policy learning can overfit evaluator; must use outer holdout",conditional-candidate
SR034,policy,cost-budget,MAQ,peer-reviewed paper plus official repository,https://github.com/grf-labs/maq,established,"Optimizes allocation with variable costs and budgets across treatments","Reference for value-aware capacity design","R package and multi-action contract","Current SignalRoom action is binary and simpler rules may suffice",adopt-design-oracle
SR035,safety,no-harm,counterfactual no-harm,ICML 2023 paper,https://openreview.net/forum?id=s5v1TJklbL,established,"Harm is distinct from average utility and may need principal-strata bounds","Creates an honest conditional safety profile","Needs separate harm outcome and assumptions","Hillstrom lacks unsubscribe complaints and long-run harm",conditional-only
SR036,safety,partial-identification,safe policy under partial identification,AAAI 2024 paper,https://ojs.aaai.org/index.php/AAAI/article/view/29198,established,"A conservative policy can guarantee baseline performance under bounded identification","Useful when causal effects are only partially identified","Research implementation required later","Can be overly conservative and does not replace missing data",research-reserve
SR037,assumptions,sensitivity,DoWhy sensitivity,official documentation,https://www.pywhy.org/dowhy/v0.14/dowhy.causal_refuters.html,established,"Provides multiple sensitivity analyses for unobserved confounding","Conditional observational profile","Adopt DoWhy only when causal graph and observational contract exist","Not needed to explain randomized Hillstrom assignment",conditional-tool
SR038,assumptions,sensitivity,DoubleML sensitivity,official documentation,https://docs.doubleml.org/dev/guide/sensitivity.html,established,"Provides robustness values and bounds for adversarial confounding","Orthogonal sensitivity oracle","Isolated optional dependency","Does not rescue unsupported ignorability or positivity",conditional-tool
SR039,transport,distribution-shift,transportability review,review,https://www.annualreviews.org/content/journals/10.1146/annurev-statistics-042522-103837,established,"Internal validity does not imply target-population validity","Requires target campaign validation","No runtime integration","Cross-dataset performance is not fitted-model transfer evidence",adopt-control
SR040,transport,campaign-shift,marketing policy across campaigns,peer-reviewed study,https://ideas.repec.org/a/kap/qmktec/v22y2024i2d10.1007_s11129-023-09278-5.html,established,"Policy value and direct-method conclusions can change across campaigns","Supports a campaign/time stability experiment","Requires comparable client campaigns","Public Hillstrom has no time split",conditional-workload
SR041,scope,multi-treatment,Doubly robust fusion of many treatments,PMLR 2025,https://proceedings.mlr.press/v267/zhu25e.html,established,"Many-arm imbalance and treatment similarity need different methods","Not applicable to current binary action","Would change model and policy contracts","Counting it now would create integration without evidence",scope-reserve
SR042,scope,dynamic-treatment,DTR causal forests and dynamic regimes,PMLR 2022,https://proceedings.mlr.press/v182/blumlein22a.html,established,"Sequential decisions require time-varying state confounding and cumulative regret","Not applicable to one-shot Hillstrom decision","Requires longitudinal data and a different evaluator","Static uplift results cannot be relabelled dynamic",scope-reserve
SR043,scope,interference,policy under interference,PMLR 2020,https://proceedings.mlr.press/v108/sherman20a.html,established,"Spillovers violate independent-unit treatment assumptions","Important only with network or shared-market interference data","Different identification and simulation contract","Current benchmark has no network/exposure mapping",scope-reserve
SR044,scope,noncompliance,conditional front-door HTE,PMLR 2025,https://proceedings.mlr.press/v287/chen25a.html,established,"Assignment and received treatment diverge under non-compliance","Not current email-assignment estimand","Requires mediator/compliance variables","Would change the estimand and assumptions",scope-reserve
SR045,scope,fair-policy,fair and robust HTE policy learning,PMLR 2023,https://proceedings.mlr.press/v202/kim23ab.html,established,"Fairness constraints trade welfare against protected-group criteria","Conditional future policy constraint","Requires approved protected attributes and acceptance rule","Current public data and product have no such contract",conditional-only
